suburb,center,shape
Abbotsford,"{""type"": ""Point"", ""coordinates"": [151.12924571213907, -33.850596010671126]}","{""type"": ""Polygon"", ""coordinates"": [[[151.13471632200003, -33.85491988999996], [151.1344518720001, -33.85496259999996], [151.13362887200003, -33.85509546999998], [151.13348919200007, -33.85511797999993], [151.13320354300004, -33.85516404999992], [151.1327805830001, -33.85523225999997], [151.1321746430001, -33.85532997999996], [151.13189162300012, -33.85537561999997], [151.13183982300006, -33.855383979999935], [151.13108924300002, -33.85551236899993], [151.1305052030001, -33.85561261899994], [151.13043749300004, -33.85561788899997], [151.130405923, -33.85567279899993], [151.13046885300002, -33.85580147899997], [151.1306194130001, -33.85632319899997], [151.13072365300002, -33.85674483899993], [151.13074074300005, -33.856813968999965], [151.1286099030001, -33.85719458899995], [151.1279723230001, -33.85731389899996], [151.12787030300012, -33.85733207899994], [151.127815703, -33.85734647899994], [151.12774733300012, -33.857195308999955], [151.127662363, -33.85702035899993], [151.12757954300002, -33.85684528899997], [151.12750757300012, -33.85666628899997], [151.12747442300008, -33.85656134899994], [151.12744347300008, -33.85645632899997], [151.12741435300006, -33.85635030899994], [151.1273815730001, -33.85624427899995], [151.12734339300005, -33.85614130899995], [151.1272775430001, -33.85598831899995], [151.12720338300005, -33.85583629899997], [151.1271205930001, -33.85568835899994], [151.12703055300005, -33.855543258999944], [151.12693339300006, -33.85540232899995], [151.12683148300005, -33.855273268999944], [151.1267206330001, -33.85514933899997], [151.12648553400004, -33.85490731899995], [151.12636961400005, -33.85478627899994], [151.12624938400006, -33.85467333899992], [151.1261154240001, -33.85456225899997], [151.12598836400002, -33.85445129899995], [151.12588649400004, -33.85433528899994], [151.12582959400004, -33.85421332899994], [151.1258195140001, -33.85415131899999], [151.125814514, -33.854087348999926], [151.12581554400003, -33.85402335899994], [151.1258234940001, -33.853960348999976], [151.12583645400002, -33.853899328999944], [151.12592234400006, -33.85372050899997], [151.12599340400004, -33.85358728899997], [151.12607728400008, -33.853212258999974], [151.12624649400004, -33.85258433899997], [151.12627744400004, -33.85252231899995], [151.12630226400006, -33.85245734899996], [151.12631956400003, -33.852389308999925], [151.12633037400008, -33.85232126899995], [151.12633252400008, -33.85225528899997], [151.1263235140001, -33.85218833899995], [151.1263044540001, -33.852121298999975], [151.12627744400004, -33.85205532899994], [151.1262482840001, -33.851989358999965], [151.1262025540001, -33.85188025899998], [151.12616152400005, -33.85179432899997], [151.12614243400006, -33.85175129899994], [151.12612659400008, -33.851707288999926], [151.12611148400003, -33.851638358999935], [151.12610538400008, -33.851568328999974], [151.1261014040001, -33.85149730899995], [151.12609348400008, -33.851427308999966], [151.12607439400006, -33.851360338999946], [151.1260553440001, -33.85131930899997], [151.12603227400007, -33.851279338999966], [151.12598260400011, -33.85120030899998], [151.12596030400005, -33.851160278999934], [151.1259304040001, -33.851092328999975], [151.12590628400005, -33.85102130899998], [151.12588361400003, -33.850950298999976], [151.1258594840001, -33.85088027899996], [151.12582959400004, -33.850811328999946], [151.1257925040001, -33.85073429899994], [151.1257525740001, -33.85065735899996], [151.12570830400014, -33.85058129899994], [151.12565859400002, -33.85051027899993], [151.12560030400005, -33.85044530899995], [151.1255394540001, -33.85039328899995], [151.12547247400005, -33.85034631899998], [151.12540049400002, -33.850302298999964], [151.1253245040001, -33.85026233899998], [151.12524858400002, -33.850225338999955], [151.12516649400004, -33.85018933899994], [151.12508152400005, -33.85015631899995], [151.12499440400006, -33.85012732899997], [151.124905484, -33.85010429899995], [151.12481657400008, -33.85008729899994], [151.12473630400007, -33.85007532899994], [151.12465349400009, -33.850064338999964], [151.12457034400006, -33.85006028899994], [151.12449150400005, -33.85006433899997], [151.1244205840001, -33.85008135899994], [151.12438747400006, -33.850097288999955], [151.12435649400004, -33.85011833899995], [151.12432553400004, -33.85014129899997], [151.12429454400012, -33.850161278999956], [151.12426034400005, -33.85017727899997], [151.12420961400005, -33.85018933899994], [151.124154534, -33.85019429899995], [151.1240973040001, -33.850194298999945], [151.12403934400004, -33.850192318999966], [151.1239835350001, -33.85018933899993], [151.1238633050001, -33.85018034899998], [151.12374234500012, -33.85016127899996], [151.1236235350001, -33.850134268999966], [151.1235054550001, -33.850102318999966], [151.123392415, -33.85006533899997], [151.12326747500003, -33.85001726899998], [151.12314655500006, -33.84996029899997], [151.12302843500004, -33.849897298999956], [151.12291433500002, -33.84983032899992], [151.12280560500005, -33.84975932899994], [151.12271128500004, -33.849695338999936], [151.12261839500002, -33.84962926899994], [151.12253057500007, -33.84955933899994], [151.12244848500006, -33.84948528899997], [151.1223775650001, -33.849406348999935], [151.12229657500006, -33.84928232899995], [151.1222342750001, -33.84914534899997], [151.1221885750001, -33.849001348999934], [151.12217057500004, -33.84892133899995], [151.1222144850001, -33.848372878999946], [151.12223032500006, -33.84814031899999], [151.12224941500006, -33.84812932899995], [151.122267415, -33.848117288999966], [151.1222933250001, -33.84809630899998], [151.12231635500007, -33.84807129899997], [151.12233650500002, -33.848044288999965], [151.1223692850001, -33.84798732899998], [151.12238045500013, -33.84795833899995], [151.122388375, -33.847928268999965], [151.12240133500006, -33.847867348999955], [151.12241249500005, -33.847839268999955], [151.1224614450001, -33.847773298999975], [151.1225323650001, -33.84771533899993], [151.12261445500008, -33.84766035899997], [151.12269939500004, -33.84760635899994], [151.1227742850001, -33.847547298999984], [151.1228635650001, -33.84745533899995], [151.12294459500004, -33.84735732899998], [151.12302340500003, -33.84725830899998], [151.12310654500004, -33.847162298999926], [151.12320053500002, -33.847075348999965], [151.12327539500006, -33.84701927899994], [151.1233564250001, -33.84696834899994], [151.12352129500005, -33.84686834899998], [151.1236015650001, -33.84681730899995], [151.12366240500012, -33.84677529899995], [151.12372146500002, -33.84673226899997], [151.12384132500006, -33.84664731899994], [151.12390363500003, -33.846607358999954], [151.1240375550001, -33.846529318999956], [151.12417826500007, -33.846455338999924], [151.12429706500006, -33.84639855899996], [151.1243233450001, -33.846388298999955], [151.124472415, -33.84632627899998], [151.12462253500007, -33.846272278999955], [151.1250679850001, -33.84609954899998], [151.12593938500004, -33.845764328999955], [151.1267875750001, -33.845391278999955], [151.126817425, -33.84536931899993], [151.12684338500003, -33.845328268999936], [151.1268523550001, -33.84527425899995], [151.12685739500012, -33.84515330899993], [151.12687144500012, -33.845097328999934], [151.12688944500007, -33.845062328999965], [151.12690959500003, -33.84502730899993], [151.12693229500007, -33.84499230899996], [151.12695747500004, -33.84495925899995], [151.12698448500012, -33.84492830899995], [151.1270154450001, -33.84490129899996], [151.12708745500004, -33.84485332899994], [151.1271195050001, -33.84482831899992], [151.12714432500002, -33.844799328999954], [151.12715728500007, -33.84476828899993], [151.1271644750001, -33.84473535899997], [151.12716845500006, -33.84469935899994], [151.12716954500002, -33.84466335899997], [151.12717242500003, -33.84462833899993], [151.1271763750001, -33.84454426899999], [151.1271763750001, -33.84451627899994], [151.12717458500003, -33.84448730899994], [151.12698846500007, -33.84418229899994], [151.12702445500008, -33.84418634899998], [151.1270625950001, -33.84418527899992], [151.12710147500002, -33.84417931899998], [151.1271385550001, -33.84416834899998], [151.12717060500006, -33.844155308999966], [151.12719436500004, -33.844136308999964], [151.12721345500006, -33.84411227899995], [151.12723144500012, -33.84408626899994], [151.1272483450001, -33.84405927899997], [151.12726959500003, -33.84403533899995], [151.12731857500012, -33.84399428899995], [151.12737547500012, -33.843956308999964], [151.12743555500006, -33.84392227899996], [151.1274985550001, -33.843893308999945], [151.12756338500003, -33.84386827899994], [151.1276342650001, -33.84384731899998], [151.1277095250001, -33.843831298999916], [151.12778548500012, -33.843821308999956], [151.12786253500008, -33.843815278999955], [151.12793849500008, -33.84381429899997], [151.12800652500005, -33.84381932899997], [151.12807346500006, -33.84382931899995], [151.1282084850001, -33.843857308999915], [151.12830929500012, -33.84387430899994], [151.1283773250001, -33.84388429899996], [151.12841153500005, -33.84388825899998], [151.12843153500012, -33.84389384899998], [151.12844536500006, -33.84389230899995], [151.12854147500002, -33.843900318999935], [151.12858939500006, -33.84390329899996], [151.128638345, -33.843905278999955], [151.12868655500006, -33.843906258999944], [151.12874955500004, -33.84390427899996], [151.12884350500008, -33.84389833899997], [151.1289123150001, -33.84389626899996], [151.12898538500008, -33.84389726899996], [151.12905630500006, -33.84389428899993], [151.12912036500006, -33.843885298999965], [151.12917040500008, -33.84386333899993], [151.1291873350001, -33.84384829899994], [151.1292294550001, -33.84379827899994], [151.12924457500003, -33.843783328999955], [151.129282385, -33.84375533899998], [151.12932446500008, -33.84372932899998], [151.12936947500012, -33.84370727899994], [151.12941739500002, -33.843689278999925], [151.1294645150001, -33.84367632899994], [151.12951529500003, -33.84366929899994], [151.12956858500002, -33.84366831899995], [151.12973056500005, -33.84368028899996], [151.12979535500008, -33.843678308999976], [151.12986339500003, -33.843674348999976], [151.12993036500006, -33.84367226899997], [151.12999154500005, -33.84367730899992], [151.13004446500008, -33.84369432899996], [151.13006862400005, -33.843709348999944], [151.1300894740001, -33.84372734899995], [151.130151414, -33.84378728899996], [151.1302053940001, -33.84383427899997], [151.13025835400003, -33.84388429899997], [151.1302813840001, -33.84391030899995], [151.13031449400012, -33.843954328999985], [151.13034435400004, -33.844002298999946], [151.13036957400004, -33.84405233899997], [151.13039150400004, -33.844102288999984], [151.13040844400007, -33.84415330899998], [151.13042932400003, -33.84422432899992], [151.13044731400012, -33.844300288999925], [151.1304563340001, -33.84437634899995], [151.13045129400007, -33.84444329899996], [151.13042446400004, -33.84449583899994], [151.1303994640001, -33.84452032899997], [151.13036847400008, -33.84453932899993], [151.13029938400007, -33.84457532899996], [151.13018561400008, -33.84464535899997], [151.13016148400004, -33.84466335899999], [151.1301434940001, -33.844684318999946], [151.13012943400008, -33.844716268999946], [151.1301244340001, -33.84475433899996], [151.1301265540001, -33.84479529899994], [151.1301323240001, -33.84483632899997], [151.1301485240001, -33.844923258999984], [151.1301604240001, -33.84497232899997], [151.1301773240001, -33.845019298999944], [151.13020035400007, -33.84506232899997], [151.1302313440001, -33.845098328999946], [151.13027741400003, -33.845127298999955], [151.13033537400008, -33.84514629899997], [151.13040052400004, -33.845160318999945], [151.13046750400008, -33.845171308999966], [151.13053155400007, -33.845183278999976], [151.13062226400007, -33.84519433899994], [151.1308156340001, -33.84519929899994], [151.13090057400007, -33.84521126899994], [151.1309653940001, -33.84524032899998], [151.13099631400007, -33.84527227899998], [151.13101938400007, -33.84531135899993], [151.13105934400005, -33.84539432899992], [151.13108238400002, -33.84543428899997], [151.1311525640001, -33.84554326899996], [151.1311903840001, -33.84559726899994], [151.13123246400005, -33.84564633899999], [151.13128145400003, -33.84568934899993], [151.13133258400012, -33.84571635899993], [151.13139055400006, -33.845736338999984], [151.1314513540001, -33.84575433899993], [151.13150862400005, -33.845775298999975], [151.1315575740001, -33.84580428899994], [151.13160148400004, -33.84585027899993], [151.13163531400005, -33.845906328999945], [151.13166338400003, -33.84596726899996], [151.1316903940001, -33.84602928899994], [151.13172029400005, -33.84608831899994], [151.13175843400006, -33.84614932899995], [151.13183836400003, -33.84627029899996], [151.131875454, -33.846331318999944], [151.13190640400012, -33.84639332899996], [151.13191936400005, -33.84642429899997], [151.13195035400008, -33.846516278999964], [151.13196436400005, -33.846545338999924], [151.131984514, -33.846581338999954], [151.1320075440001, -33.846615268999976], [151.13203346400007, -33.846649288999956], [151.13205382400008, -33.84667250999996], [151.13206156400008, -33.846681339999975], [151.13209146400004, -33.84671130999993], [151.1321123340001, -33.84681830999995], [151.13213646400004, -33.846925309999946], [151.1321494240001, -33.84697833999997], [151.13216453400003, -33.84703331999998], [151.13222862400005, -33.84725425999995], [151.13223833400002, -33.84729135999993], [151.1322465840001, -33.84732933999992], [151.13226530400004, -33.84740429999994], [151.1322775740001, -33.84744029999996], [151.13230527400006, -33.84750428999996], [151.1323394740001, -33.84756629999998], [151.1323765940001, -33.847627319999965], [151.13241149400005, -33.84768932999997], [151.13244029400005, -33.84775331999998], [151.13246441400008, -33.84781830999998], [151.13248741400002, -33.847884259999944], [151.13250653400007, -33.847950329999954], [151.1325173040001, -33.84801729999998], [151.13251840400005, -33.84808226999997], [151.1325032840001, -33.84816227999994], [151.1324723340001, -33.84824128999997], [151.13243058400008, -33.84832032999998], [151.13238050400003, -33.84839628999998], [151.13232940400007, -33.848469269999946], [151.132299514, -33.84850526999997], [151.13223151400007, -33.84857230999995], [151.13220052400004, -33.848607329999936], [151.13217643400003, -33.84864431999995], [151.13216059400008, -33.84868031999997], [151.13214763400003, -33.84871829999997], [151.13213858400002, -33.848756279999975], [151.13213536400008, -33.848794349999935], [151.1321404040001, -33.848829279999954], [151.13215051400005, -33.84885230999998], [151.1321634740001, -33.84887426999996], [151.13217931400004, -33.84889531999993], [151.1322134730001, -33.84893725999995], [151.13225742300006, -33.84898532999995], [151.13230743300005, -33.84903033999995], [151.13236145300004, -33.849072279999966], [151.13241758300012, -33.84911330999994], [151.1325284730001, -33.84919231999993], [151.13258355300002, -33.84923029999993], [151.13263936300007, -33.849267299999944], [151.13269732300012, -33.84930230999998], [151.1328154030001, -33.849367299999976], [151.13287551300004, -33.849399339999934], [151.1329363630001, -33.849428309999944], [151.1329982630001, -33.849451339999966], [151.13306236300002, -33.849464309999966], [151.1331415630001, -33.84946332999993], [151.13322544300001, -33.84944730999996], [151.13330931300004, -33.84942129999996], [151.13339140300002, -33.849389349999974], [151.13336333300003, -33.849597329999945], [151.1333340230001, -33.849666089999964], [151.13332552300005, -33.84973960999997], [151.13330734300007, -33.849836359999976], [151.13329672300006, -33.84987829999996], [151.1332323030001, -33.85004363999997], [151.1326498730001, -33.850425309999935], [151.13247255300007, -33.850574739999956], [151.1318312530001, -33.85111413999992], [151.13180716300008, -33.85118991999997], [151.13168105300008, -33.851626479999936], [151.1319834530001, -33.851676339999976], [151.13210547300002, -33.85169414999995], [151.13222844300003, -33.851712319999926], [151.13414151300003, -33.85199536999995], [151.13461612300011, -33.85206412999998], [151.13492429300004, -33.85210876999997], [151.1349751030001, -33.85207535999996], [151.13505442300004, -33.85214031999994], [151.1350444530001, -33.852147309999964], [151.1350384330001, -33.85215631999995], [151.13503445300012, -33.85216630999997], [151.13503445300012, -33.852176319999955], [151.1350374430001, -33.852186309999986], [151.1350434730001, -33.85219531999996], [151.13505244300006, -33.852203309999936], [151.13569645300004, -33.85259629999996], [151.13570744300011, -33.85260431999995], [151.1357194420001, -33.85261130999992], [151.13574445200004, -33.852623309999956], [151.1357714620001, -33.85263329999997], [151.13578544200004, -33.85263731999993], [151.13581343200008, -33.852643309999955], [151.13582745200006, -33.85264530999996], [151.13585643200008, -33.852647309999945], [151.13588545200002, -33.852646309999955], [151.13591443200005, -33.852642309999965], [151.13626143200008, -33.852580299999936], [151.13627045200008, -33.852579299999945], [151.13627746200007, -33.85257730999996], [151.13629246200003, -33.85257130999997], [151.13629947200002, -33.85256731999992], [151.13631542200005, -33.85255230999997], [151.13632046200007, -33.852546319999924], [151.13632644200004, -33.852534309999946], [151.13632845200004, -33.85252731999997], [151.13632943200003, -33.852520309999925], [151.13632943200003, -33.85250629999996], [151.13632644200004, -33.852493319999944], [151.13632243200004, -33.85248729999996], [151.1364186820001, -33.852455059999954], [151.13687044200003, -33.85348613999997], [151.13691402200004, -33.853581189999936], [151.13695289200007, -33.85363535999995], [151.13698924200003, -33.85367144999998], [151.13701662200003, -33.85369312999995], [151.1370465120001, -33.85371284999996], [151.13707816200008, -33.85373003999995], [151.1371465620001, -33.85375702999993], [151.13720094200005, -33.85377034999993], [151.13758828200002, -33.85382616999993], [151.137355382, -33.85497589999994], [151.13658515200007, -33.85486623999998], [151.1361108320001, -33.854798689999946], [151.13578792200008, -33.85474675999995], [151.13514479200012, -33.854850659999954], [151.13471632200003, -33.85491988999996]]]}"
Alexandria,"{""type"": ""Point"", ""coordinates"": [151.19282377774465, -33.90985469421036]}","{""type"": ""Polygon"", ""coordinates"": [[[151.1951629680001, -33.897619315999975], [151.19554979800012, -33.897616505999956], [151.19580981800004, -33.89755149599995], [151.1966440980001, -33.897348715999954], [151.1974764480001, -33.89712858599995], [151.19741702800002, -33.89697697599997], [151.1972924480001, -33.89665331599997], [151.19722890800006, -33.89648824599994], [151.19728102800002, -33.89579216599998], [151.19729241800007, -33.89573231599997], [151.19740041800003, -33.89516423599997], [151.19741508800007, -33.89507808599995], [151.19744947800007, -33.89500992599993], [151.197488678, -33.89497388599994], [151.19752969800004, -33.894956685999944], [151.19816914800003, -33.894972285999984], [151.19824451800002, -33.894978425999966], [151.19867342800012, -33.895035905999976], [151.19914894800002, -33.89509184599995], [151.19912474800003, -33.89515167599996], [151.19906733800008, -33.89534540599993], [151.19902342800003, -33.89549899599996], [151.19901097800005, -33.89561319599992], [151.19900342800008, -33.89569731599993], [151.19899842800012, -33.89575531599996], [151.19903506800006, -33.89594439599995], [151.19913226800008, -33.89625360599996], [151.1992606780001, -33.89664845599999], [151.19949347700003, -33.897293565999966], [151.19968684700007, -33.89782712599998], [151.19995121700003, -33.898593095999956], [151.2000089270001, -33.89875643599992], [151.2002594270001, -33.89947331599995], [151.20026852700005, -33.89949955599997], [151.2003067270001, -33.89960976599997], [151.2003944370001, -33.89985607599993], [151.20048243700012, -33.90011398599995], [151.20050152700003, -33.90017399599998], [151.200562557, -33.90035526599996], [151.20061978700005, -33.90050866599996], [151.2007703170001, -33.90080072599994], [151.2009043070001, -33.901040965999975], [151.2009838770001, -33.90118639599994], [151.20106092700007, -33.90132379599993], [151.2011419270001, -33.90147639599996], [151.2013133270001, -33.90181924599994], [151.2015294460001, -33.90226331599996], [151.20178665600008, -33.90279052599993], [151.20190082600004, -33.90302499599995], [151.2020179860001, -33.90326330599992], [151.2021061060001, -33.903442545999965], [151.20226736600011, -33.90376947599999], [151.2022938660001, -33.90382119599996], [151.20246278600007, -33.90416026599997], [151.20249640600002, -33.90424753599995], [151.2025882360001, -33.904522345999965], [151.20263889600005, -33.90466729599995], [151.20273843600012, -33.90513625699998], [151.2028347160001, -33.90551504699993], [151.20286818600007, -33.905647576999954], [151.20294283600003, -33.90596725699993], [151.20296611600008, -33.90606149699994], [151.2029902060001, -33.906224146999925], [151.20298192600012, -33.906433936999974], [151.20289658600007, -33.907066246999925], [151.20286665600008, -33.90727675699998], [151.2028317260001, -33.907539826999944], [151.2028170860001, -33.90775254699997], [151.2028136250001, -33.90833151699995], [151.202810375, -33.90860165699996], [151.20279734500002, -33.90871792699994], [151.20235624500006, -33.90864921599996], [151.2018940060001, -33.90858639599996], [151.201427426, -33.90852258599994], [151.2009590560001, -33.90845894599994], [151.2005216760001, -33.90840270599995], [151.2002453760001, -33.908362525999955], [151.199612096, -33.909097275999954], [151.19914292600004, -33.90963835599996], [151.19958792600005, -33.90982708599995], [151.2000119160001, -33.91000201599996], [151.19966400600003, -33.91058977599993], [151.19940888600001, -33.91102271599994], [151.19883183600007, -33.91200199599996], [151.1989556850001, -33.912041325999944], [151.1996911550001, -33.91221979599993], [151.1993311550001, -33.91327636599993], [151.1992464350001, -33.91352432599996], [151.19819242500012, -33.913091305999956], [151.19798510500004, -33.91344477599994], [151.19862119500013, -33.913710395999935], [151.19911270500006, -33.91391724599997], [151.1994807650001, -33.91407045599993], [151.1995465450001, -33.91409830599998], [151.1996849850001, -33.91415615599993], [151.19997300500006, -33.914275905999936], [151.20026844500012, -33.914399315999965], [151.20040465500006, -33.91445611599993], [151.20083024500002, -33.91463933599994], [151.20055700500006, -33.91543675599995], [151.20030143500003, -33.91617731599997], [151.20017489500003, -33.91654285599998], [151.20013503500002, -33.91665831599994], [151.19999545500002, -33.917051415999936], [151.19994534500006, -33.91719423599994], [151.1995994350001, -33.91817231599999], [151.199541145, -33.91833626599998], [151.19946467500006, -33.91848060599994], [151.19936276500005, -33.91861315599993], [151.19863772500003, -33.91930188599997], [151.19856936500003, -33.91936673599997], [151.19833215500012, -33.91960251599995], [151.1980873450001, -33.91984366599996], [151.19744655500006, -33.92046333599994], [151.1971201350001, -33.92078527599994], [151.1968115650001, -33.92107777599994], [151.1965137950001, -33.92142391599997], [151.19637553500002, -33.921404915999965], [151.1959126050001, -33.921341455999936], [151.1943052150001, -33.921127455999965], [151.19420979500012, -33.92111393599998], [151.1934854650001, -33.92101134599994], [151.1917643050001, -33.92076699599994], [151.18989484600002, -33.92049845499997], [151.18886328600001, -33.92035065499993], [151.18786154600002, -33.920208724999945], [151.187452236, -33.92015076499996], [151.186542346, -33.92003483499996], [151.18545531600012, -33.91989633499998], [151.18540636600005, -33.91989048499995], [151.1852983660001, -33.91988400499997], [151.185251536, -33.91988338499994], [151.18491606600003, -33.919854244999954], [151.1847896260001, -33.919843254999925], [151.1820106670001, -33.91944428499994], [151.181967417, -33.91943431499993], [151.1815304370001, -33.91965831499993], [151.1813904270001, -33.91975130499998], [151.1808396770001, -33.91915239499997], [151.18086668700005, -33.91913555499996], [151.18097242700003, -33.919066314999945], [151.18122941700005, -33.91891631499993], [151.18159843700005, -33.918751314999945], [151.18231142700006, -33.91849732499996], [151.18394845700004, -33.918008314999966], [151.1849904170001, -33.91769331499995], [151.185256427, -33.917604314999956], [151.18563040700008, -33.91745131499994], [151.1859894270001, -33.917286314999956], [151.18601216700006, -33.916908984999964], [151.1860314370001, -33.91658830499995], [151.18562204700004, -33.91613381499996], [151.18552722700008, -33.91607439499995], [151.18560617700007, -33.91602759499994], [151.18571705700003, -33.91595803499995], [151.18499377700005, -33.91548633499997], [151.18472520700007, -33.91533841499995], [151.1838158070001, -33.91483763499996], [151.1829734270001, -33.91436331499994], [151.18244472800006, -33.91406638499995], [151.18155018800007, -33.91356041499995], [151.18144743800008, -33.913475314999964], [151.18124759800003, -33.913340314999964], [151.18121554800007, -33.910638304999964], [151.18120251800008, -33.90954234499997], [151.18112853800005, -33.90902634499997], [151.18116152800008, -33.90885734499993], [151.1811905180001, -33.908601344999965], [151.18119850800008, -33.908527344999975], [151.1813195090001, -33.90785332499996], [151.18141611900012, -33.90731586499994], [151.18146039900012, -33.90729686499998], [151.181570189, -33.907244214999935], [151.18159000900005, -33.90709643499998], [151.18163953900012, -33.90712670499993], [151.18173651900008, -33.907115914999956], [151.1818818590001, -33.90707323499998], [151.18203179900001, -33.907038274999934], [151.18221689900008, -33.906990124999936], [151.18239785900005, -33.90696962499994], [151.1828370280001, -33.906980244999936], [151.18302613800006, -33.90699380499995], [151.18315238800005, -33.90700673499999], [151.18344201800005, -33.90704256499998], [151.1835054180001, -33.90705159499998], [151.18415854800003, -33.90714198499995], [151.1844135780001, -33.90717610499997], [151.18516579800007, -33.90727720499996], [151.18572391800012, -33.90735066499997], [151.18591583800003, -33.907377674999964], [151.1861079780001, -33.90741007499997], [151.18640650800012, -33.907468714999936], [151.18672975800007, -33.907523844999965], [151.18701244800005, -33.907568574999964], [151.18755293800007, -33.90699148499993], [151.18809674800002, -33.90645158499996], [151.1882860080001, -33.906241094999984], [151.18880003800007, -33.90568233499994], [151.18932019800002, -33.90511684499995], [151.1896352980001, -33.904774354999965], [151.1911298980001, -33.90315891499994], [151.191178228, -33.903067134999965], [151.19136601800005, -33.90289575499998], [151.19223270800012, -33.901949664999954], [151.19198980800005, -33.90175515499993], [151.19190727800003, -33.90169190499994], [151.1916670380001, -33.90150766499994], [151.19129560800002, -33.90121577499997], [151.19096210800012, -33.90096955499995], [151.19076500800008, -33.900835284999985], [151.190662588, -33.90075758499995], [151.19052896800008, -33.90065623499993], [151.19038142800002, -33.90056094499994], [151.19029872800002, -33.90052000499997], [151.19021451800006, -33.90049066499995], [151.19026608800004, -33.90035751499994], [151.19022371800008, -33.900332204999984], [151.19015439800012, -33.90002531499993], [151.19016242800012, -33.899912314999945], [151.1901593980001, -33.89980050499997], [151.19014542800005, -33.89974431499995], [151.19014041800006, -33.89969131499998], [151.19014739800002, -33.899633314999974], [151.19013341800007, -33.89957532499995], [151.19003840800008, -33.89959432499995], [151.19003544800012, -33.89955230499992], [151.19001442800004, -33.89930930499998], [151.18996043900006, -33.89869447499996], [151.18955744900006, -33.89878131499995], [151.18951641900003, -33.89878631499993], [151.18951440900003, -33.89876931499998], [151.18938691900007, -33.89812497499997], [151.18997533900006, -33.89805153499997], [151.19029437900008, -33.89794330499995], [151.19074642900011, -33.89779038499995], [151.19088381900008, -33.89777033499996], [151.19125870900007, -33.89772036499994], [151.1914947880001, -33.897680994999966], [151.19221259800008, -33.89766436499997], [151.19294657800003, -33.89764597599998], [151.19358967800008, -33.89763208599992], [151.19450399800007, -33.89761060599995], [151.1951629680001, -33.897619315999975]]]}"
